Año;Autoridad Portuaria;Operacion;Transito;Graneles líquidos;Graneles sólidos;Mercancía general convencional;Mercancía general en contenedor;Mercancía general;Pesca;Avituallamiento;Tráfico interior;TRÁFICO TOTAL;;;
1964;Ceuta;Embarque;Incluido tránsito;990;1.367;45.585;0;45.585;0;1.001.747;0;1.049.689;;;
1964;Ferrol;Desembarque;Incluido tránsito;12.131;48.168;92.391;0;92.391;16.126;0;31.327;200.143;;;
1964;Ferrol;Embarque;Incluido tránsito;0;207.319;68.599;0;68.599;0;19.374;0;295.292;;;
1964;Gijón;Desembarque;Incluido tránsito;239.936;802.116;192.459;0;192.459;9.071;0;0;1.243.582;;;
1964;Gijón;Embarque;Incluido tránsito;3.599;1.699.250;227.868;0;227.868;0;98.257;0;2.028.974;;;
1964;Huelva;Desembarque;Incluido tránsito;399.254;221.152;40.102;0;40.102;40.229;0;22.056;722.793;;;
1964;Huelva;Embarque;Incluido tránsito;0;2.126.608;19.315;0;19.315;0;206.661;148;2.352.732;;;
1964;Las Palmas;Desembarque;Incluido tránsito;2.008.587;193.977;592.010;0;592.010;101.291;0;0;2.895.865;;;
1964;Las Palmas;Embarque;Incluido tránsito;0;12.580;493.911;0;493.911;0;2.396.494;0;2.902.985;;;
1964;Marín y Ría de Pontevedra;Desembarque;Incluido tránsito;0;76.320;38.048;0;38.048;16.152;0;66.841;197.361;;;
1964;Marín y Ría de Pontevedra;Embarque;Incluido tránsito;0;14.940;60.364;0;60.364;0;62.687;0;137.991;;;
1964;Melilla;Desembarque;Incluido tránsito;23.102;5.809;75.982;0;75.982;7.014;0;0;111.907;;;
1964;Melilla;Embarque;Incluido tránsito;0;1.073.306;45.518;0;45.518;0;16.148;0;1.134.972;;;
1964;Málaga;Desembarque;Incluido tránsito;268.576;358.405;323.432;0;323.432;19.738;0;0;970.151;;;
1964;Málaga;Embarque;Incluido tránsito;5.562;47.816;150.528;0;150.528;0;79.125;0;283.031;;;
1964;Pasaia;Desembarque;Incluido tránsito;407.638;615.138;613.922;0;613.922;76.408;0;0;1.713.106;;;
1964;Pasaia;Embarque;Incluido tránsito;254;262.587;171.599;0;171.599;0;130.041;0;564.481;;;
1964;Puerto de Santa María;Desembarque;Incluido tránsito;0;79.150;15.027;0;15.027;6.981;0;2.589;103.747;;;
1964;Puerto de Santa María;Embarque;Incluido tránsito;0;8.050;37.828;0;37.828;0;33.807;2.268;81.953;;;
1964;San Esteban de Pravia;Desembarque;Incluido tránsito;0;3.507;4.170;0;4.170;1.183;0;0;8.860;;;
1964;San Esteban de Pravia;Embarque;Incluido tránsito;0;849.426;496;0;496;0;26.004;0;875.926;;;
1964;Santa Cruz de Tenerife;Desembarque;Incluido tránsito;5.418.023;289.887;441.570;0;441.570;22.759;0;0;6.172.239;;;
1964;Santa Cruz de Tenerife;Embarque;Incluido tránsito;3.889.477;28.045;690.443;0;690.443;0;1.210.367;0;5.818.332;;;
1964;Santander;Desembarque;Incluido tránsito;619.845;885.356;300.000;0;300.000;9.846;0;0;1.815.047;;;
1964;Santander;Embarque;Incluido tránsito;24.173;263.864;139.034;0;139.034;0;110.355;0;537.426;;;
1964;Sevilla;Desembarque;Incluido tránsito;556.832;700.961;238.997;0;238.997;1.108;0;50.184;1.548.082;;;
1964;Sevilla;Embarque;Incluido tránsito;0;403.726;234.017;0;234.017;0;39.104;0;676.847;;;
1964;Tarragona;Desembarque;Incluido tránsito;545.280;779.563;157.203;0;157.203;3.546;0;0;1.485.592;;;
1964;Tarragona;Embarque;Incluido tránsito;8.800;25.396;153.212;0;153.212;0;41.029;0;228.437;;;
1964;Valencia;Desembarque;Incluido tránsito;941.824;829.885;479.271;0;479.271;1.274;0;0;2.252.254;;;
1964;Valencia;Embarque;Incluido tránsito;18.450;141.520;546.522;0;546.522;0;60.399;0;766.891;;;
1964;Vigo;Desembarque;Incluido tránsito;277.876;83.695;184.428;0;184.428;92.252;0;83.088;721.339;;;
1964;Vigo;Embarque;Incluido tránsito;4.193;242.777;52.099;0;52.099;0;394.896;15.458;709.423;;;
1964;Vilagarcía;Desembarque;Incluido tránsito;0;26.467;31.830;0;31.830;800;0;30.413;89.510;;;
1964;Vilagarcía;Embarque;Incluido tránsito;0;1.347;91.707;0;91.707;0;0;19.735;112.789;;;
1965;A Coruña;Desembarque;Incluido tránsito;2.018.654;248.665;158.721;0;158.721;85.511;0;64;2.511.615;;;
1965;A Coruña;Embarque;Incluido tránsito;1.573.799;252.700;24.002;0;24.002;0;267.696;2.326;2.120.523;;;
1965;Alicante;Desembarque;Incluido tránsito;190.878;320.984;486.049;0;486.049;9.075;0;0;1.006.986;;;
1965;Alicante;Embarque;Incluido tránsito;0;44.662;232.535;0;232.535;0;44.564;0;321.761;;;
1965;Almería;Desembarque;Incluido tránsito;175.875;109.553;107.493;0;107.493;7.705;0;0;400.626;;;
1965;Almería;Embarque;Incluido tránsito;0;1.140.646;42.504;0;42.504;0;14.256;0;1.197.406;;;
1965;Avilés;Desembarque;Incluido tránsito;3.998;1.957.866;463.532;0;463.532;6.782;0;13.134;2.445.312;;;
1965;Avilés;Embarque;Incluido tránsito;0;970.456;562.480;0;562.480;0;37.633;11.621;1.582.190;;;
1965;Bahía de Algeciras;Desembarque;Incluido tránsito;161.301;2.352;103.118;0;103.118;48.741;0;0;315.512;;;
1965;Bahía de Algeciras;Embarque;Incluido tránsito;129.501;0;67.296;0;67.296;0;211.195;0;407.992;;;
1965;Bahía de Cádiz;Desembarque;Incluido tránsito;0;65.832;141.591;0;141.591;36.710;0;4.110;248.243;;;
1965;Bahía de Cádiz;Embarque;Incluido tránsito;0;5.614;115.379;0;115.379;0;219.449;0;340.442;;;
1965;Baleares;Desembarque;Incluido tránsito;229.713;263.767;402.710;0;402.710;2.358;0;0;898.548;;;
1965;Baleares;Embarque;Incluido tránsito;0;25.275;165.327;0;165.327;0;86.892;0;277.494;;;
1965;Barcelona;Desembarque;Incluido tránsito;2.110.536;1.732.564;1.955.812;0;1.955.812;5.970;0;0;5.804.882;;;
1965;Barcelona;Embarque;Incluido tránsito;19.233;465.815;422.821;0;422.821;0;251.284;0;1.159.153;;;
1965;Bilbao;Desembarque;Incluido tránsito;859.620;3.048.134;1.750.967;0;1.750.967;4.644;0;369.581;6.032.946;;;
1965;Bilbao;Embarque;Incluido tránsito;45.892;692.621;327.462;0;327.462;0;231.946;320.507;1.618.428;;;
1965;C.A.G.P.;Desembarque;Incluido tránsito;88.358;482.391;805.302;0;805.302;313.017;0;6.300;1.695.368;;;
1965;C.A.G.P.;Embarque;Incluido tránsito;7.250;1.885.069;873.170;0;873.170;0;228.706;21.957;3.016.152;;;
1965;Cartagena;Desembarque;Incluido tránsito;5.716.190;350.719;218.020;0;218.020;2.732;0;0;6.287.661;;;
1965;Cartagena;Embarque;Incluido tránsito;3.626.105;182.512;260.937;0;260.937;0;315.665;0;4.385.219;;;
1965;Castellón;Desembarque;Incluido tránsito;64.785;76.328;75.732;0;75.732;6.211;0;0;223.056;;;
1965;Castellón;Embarque;Incluido tránsito;207;14.856;20.520;0;20.520;0;10.718;0;46.301;;;
1965;Ceuta;Desembarque;Incluido tránsito;780.974;14.936;76.331;0;76.331;3.568;0;0;875.809;;;
1965;Ceuta;Embarque;Incluido tránsito;4.277;942;50.425;0;50.425;0;943.443;0;999.087;;;
1965;Ferrol;Desembarque;Incluido tránsito;49.774;32.212;119.340;0;119.340;14.608;0;0;215.934;;;
1965;Ferrol;Embarque;Incluido tránsito;0;276.673;46.770;0;46.770;0;36.340;37.593;397.376;;;
1965;Gijón;Desembarque;Incluido tránsito;301.394;888.043;280.317;0;280.317;7.058;0;0;1.476.812;;;
1965;Gijón;Embarque;Incluido tránsito;1.869;1.653.794;141.177;0;141.177;0;107.711;0;1.904.551;;;
1965;Huelva;Desembarque;Incluido tránsito;567.337;161.803;68.551;0;68.551;44.462;0;203;842.356;;;
1965;Huelva;Embarque;Incluido tránsito;1.898;2.167.438;16.134;0;16.134;0;218.636;21.089;2.425.195;;;
1965;Las Palmas;Desembarque;Incluido tránsito;1.876.616;168.970;650.524;0;650.524;108.380;0;0;2.804.490;;;
1965;Las Palmas;Embarque;Incluido tránsito;0;7.617;501.370;0;501.370;0;2.413.662;0;2.922.649;;;
1965;Marín y Ría de Pontevedra;Desembarque;Incluido tránsito;2.375;80.957;60.034;0;60.034;12.355;0;89;155.810;;;
1965;Marín y Ría de Pontevedra;Embarque;Incluido tránsito;0;5.165;63.896;0;63.896;0;60.364;161.412;290.837;;;
1965;Melilla;Desembarque;Incluido tránsito;23.114;4.937;75.569;0;75.569;8.139;0;0;111.759;;;
1965;Melilla;Embarque;Incluido tránsito;0;990.488;52.454;0;52.454;0;14.087;0;1.057.029;;;
1965;Málaga;Desembarque;Incluido tránsito;885.971;430.379;245.273;0;245.273;19.560;0;0;1.581.183;;;
1965;Málaga;Embarque;Incluido tránsito;11.169;72.672;115.987;0;115.987;0;95.117;0;294.945;;;
1965;Pasaia;Desembarque;Incluido tránsito;453.501;543.380;924.323;0;924.323;80.810;0;0;2.002.014;;;
1965;Pasaia;Embarque;Incluido tránsito;0;295.303;149.570;0;149.570;0;161.854;0;606.727;;;
1965;Puerto de Santa María;Desembarque;Incluido tránsito;0;103.064;9.641;0;9.641;7.860;0;2.785;123.350;;;
1965;Puerto de Santa María;Embarque;Incluido tránsito;0;18.055;33.265;0;33.265;0;27.462;1.678;80.460;;;
1965;San Esteban de Pravia;Desembarque;Incluido tránsito;0;2.735;2.563;0;2.563;842;0;0;6.140;;;
1965;San Esteban de Pravia;Embarque;Incluido tránsito;0;723.510;0;0;0;0;22.295;0;745.805;;;
1965;Santa Cruz de Tenerife;Desembarque;Incluido tránsito;6.336.444;285.752;427.133;0;427.133;23.936;0;0;7.073.265;;;
1965;Santa Cruz de Tenerife;Embarque;Incluido tránsito;4.698.545;44.757;722.709;0;722.709;0;1.252.183;0;6.718.194;;;
1965;Santander;Desembarque;Incluido tránsito;757.800;918.730;400.397;0;400.397;11.574;0;15.130;2.103.631;;;
